  OB  D1  D2  D3  D4  D5  D6  D7  D1  D2  D3  D4  D5  D6  D7
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0  20   0   0   0   0   0   0  20  30   0
   0  30  30  30  20   0   0  20  30  30  20  15   0  30  30
 102  60  40  30  20  30  30   0  70  60  50  30  40  30  20
 123  20  20  10   0   0   0  20  30  15   0  30   0  50  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  20   0  20  20   0   0   0  30  30   0   0   0   0   0
  30  50  50  30  20  20  20   0  50  60  20  20  30  20   0
   0   0   0   0   0  40  20  20   0   0   0   0   0  30   0
   0   0  20  20  20   0   0   0   0   0   0  15   0  30  20
   0  10  40  20  20  20  20   0  10  30  30  30  30  30  40
  11  70  40  30  20   0   0   0  80  50  40  20  15  15  20
   0   0  20   0   0  20  20  20   0   0  30  30  30  15  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  15
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  20  20  20  20   0   0   0  15  15  15   0   0  20   0
   2  20  20  30  30   0   0   0   0  15  30  30  30  20   0
  88  80  50  30  30  30   0   0 100  60  40  40  40   0   0
 218  20  20  30  30   0   0   0  80  30  20  40  30  20   0
   0   0   0   0   0   0   0   0   0   0   0   0  20   0   0
   0   0   0   0   0   0   0   0  15   0   0  15   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0  10  10   0   0  20   0   0
   0  10   0   0   0   0   0   0  10   0   0  15   0   0  15
   0  20  20  20  20  20  20   0  20  20  30  30  30  20  20
   0   0  30  30  30   0   0   0   0  30  50  50   0   0  20
   0   0   0   0   0   0   0   0   0   0   0  20   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0  15  15   0   0   0   0   0
   0   0   0   0   0   0   0   0   0  15  15   0   0   0  20
   0   0  20  20  20   0   0   0  15   0  15  15  20  20  20
   0  40  30  30  30  30  20  20  15  20  20  30  30  30  30
   9  90  40  40   0  20  20   0  90  50  50  40  30  20  20
   0   0  20  40  40  20   0   0   0  20  50  50  40   0   0
  78  40  30  20  20  20  20   0  50  30  20  40  30  20   0
   0  40  20  20  20   0   0  20  60  30  50  40   0   0  30
   0   0   0   0   0  20   0   0   0   0   0   0  40  20  20
   0  10  20  20  20   0   0   0   0   0   0  30   0   0  30
   0   0   0   0   0  20   0   0   0   0   0  20   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  30  20  30  30  30   0   0  30  20   0  40  30  20   0
  34  40   0   0  20  20  20   0  30   0  30   0  40  20  20
   1  60  20  20  20   0   0   0  30  20  20  40  15   0  20
   0   0   0   0   0   0   0   0   0   0   0  20  20  30   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  20   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  15   0   0   0   0   0  20   0   0  15   0   0   0   0   0
   0  10   0   0   0   0   0  20  10   0   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  15
   0   0   0   0  20  20  20   0   0   0   0  15  30   0  15
   0   0   0   0   0   0   0   0   0   0   0  15  15  30   0
   0   0   0   0   0   0  20  20   0   0   0   0   0   0   0
   0   0   0   0   0  20  20  20   0   0  15  15  15  20  20
   0  20  40  40  40  40  20  20  20  40  40  50  40  30  30
   1  30  20  30  20  20  20   0  50  60 100  50  30  15   0
   0  20  30   0   0   0   0   0  20  20  20  20   0  15  20
   0  30  30  30  20  20  20   0  30  60  30  40  50  20  30
   5  60  30   0  20  30   0   0  60  80  30  20  30  60  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0  30   0   0   0   0  20  20  20   0  15
   0  20  20  20   0   0  20  20  40  20  20   0   0  15  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  40  40  20  20  20  20  20  40  30  20   0  20  30  20
   4  50  60  40  20  40  30  30  40  70  60  40  20  40  20
   0   0   0   0  20  20  20   0   0   0  20  30   0  30  20
   0   0   0   0   0   0   0   0   0   0   0   0   0  15  15
   0   0   0   0   0   0   0  20   0   0   0   0   0  15  20
   0   0   0   0   0   0   0   0   0   0   0   0  15   0   0
   0   0  20   0   0   0   0   0   0  15   0  20  20  15   0
   0  10  20   0  30  30  20   0  20  30  20  20  30  30  15
   0   0   0   0   0   0  20   0  20   0  30   0   0   0  15
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  19  20  20  10  10   0   0   0   0  30   0   0   0   0  20
   0   0  20   0  20  20  20  20   0  15  40  40  40  20  20
   2  50  20   0   0  20  20  20  60  30   0   0  20  20  30
